pvc_lemmas,file_path,row,is_phrasal,annotator_agreement_percentage,sents,aligned_idxs,verbs_fixed,sent_string,verb_string
"['take', 'on']",B/BN/BNN.xml,291,true,1.0,"['At', 'about', 'the', 'same', 'time', 'the', 'aliens', 'department', 'of', 'the', 'Home', 'Office', 'took', 'on', 'extra', 'staff', 'and', 'moved', 'to', 'Cleveland', 'House', 'on', 'Thorney', 'Street', '.']","[12, 13]","['took', 'on']",At about the same time the aliens department of the Home Office took on extra staff and moved to Cleveland House on Thorney Street .,took on
"['give', 'in']",B/B1/B1E.xml,670,false,0.7051,"['Production', 'is', 'centred', 'in', 'the', 'Pacific', 'northwest', 'and', 'the', 'south', 'and', 'the', 'various', 'products', 'are', 'given', 'in', 'Fig.', '.']","[15, 16]","['given', 'in']",Production is centred in the Pacific northwest and the south and the various products are given in Fig. .,given in
"['take', 'after']",K/K3/K3E.xml,56,false,0.6733,"['By', 'Echo', 'reporter', 'CORONATION', 'Street', 'actress', 'Lynne', 'Perrie', 'was', 'said', 'to', 'be', 'poorly', 'today', 'in', 'the', 'hospital', 'where', 'she', 'was', 'taken', 'after', 'collapsing', 'during', 'filming', 'earlier', 'this', 'week', '.']","[20, 21]","['taken', 'after']",By Echo reporter CORONATION Street actress Lynne Perrie was said to be poorly today in the hospital where she was taken after collapsing during filming earlier this week .,taken after
"['get', 'out']",C/CK/CK9.xml,1654,true,1.0,"['Mrs', 'Aggie', ',', 'I', 'do', ""n't"", 'want', 'to', 'go', 'to', 'a', 'school', 'where', 'I', 'wo', ""n't"", 'be', 'able', 'to', 'get', 'out', 'and', 'come', 'home', '.']","[19, 20]","['get', 'out']","Mrs Aggie , I do n't want to go to a school where I wo n't be able to get out and come home .",get out
"['get', 'through']",G/G2/G2E.xml,2734,true,1.0,"['He', 'was', 'charged', 'for', 'a', 'call', 'that', 'never', 'got', 'through', ',', 'and', 'the', 'Inter-', 'Continental', 'has', 'since', 'confirmed', 'that', 'for', 'technical', 'reasons', ',', 'charges', 'for', 'all', 'international', 'calls', 'out', 'of', 'Zaire', 'commence', 'as', 'soon', 'as', 'the', 'line', 'rings', ',', 'as', 'opposed', 'to', 'when', 'the', 'party', 'telephoned', 'actually', 'picks', 'up', 'the', 'receiver', '.']","[8, 9]","['got', 'through']","He was charged for a call that never got through , and the Inter- Continental has since confirmed that for technical reasons , charges for all international calls out of Zaire commence as soon as the line rings , as opposed to when the party telephoned actually picks up the receiver .",got through
"['give', 'in']",C/CL/CLP.xml,629,false,0.6991,"['An', 'illustration', 'of', 'a', 'flow', 'chart', 'is', 'given', 'in', 'Fig.', '.']","[7, 8]","['given', 'in']",An illustration of a flow chart is given in Fig. .,given in
"['get', 'on']",C/CB/CBG.xml,8098,false,0.6915,"['In', 'the', 'minute', 'Philliskirk', 'netted', 'as', 'he', 'got', 'on', 'the', 'end', 'of', 'a', 'cross', 'from', 'Boro', 'substitute', 'Bobby', 'Barnes', '.']","[7, 8]","['got', 'on']",In the minute Philliskirk netted as he got on the end of a cross from Boro substitute Bobby Barnes .,got on
"['give', 'in']",C/CB/CB6.xml,334,false,0.6551,"['I', 'Jordan', 'de', 'Blossevilla', 'give', 'in', 'free', 'alms', 'to', 'God', 'and', 'St', 'Pancras', 'and', 'the', 'monks', 'for', 'the', 'welfare', 'of', 'my', 'soul', 'and', 'of', 'my', 'ancestors', 'and', 'successors', 'a', 'portion', 'of', 'my', 'land', 'in', 'Bevenden', 'lying', 'by', 'my', 'well', 'on', 'the', 'south', 'side', 'containing', 'perches', 'in', 'length', 'and', 'in', 'breadth', ';', 'to', 'hold', 'in', 'tree', 'alms', ',', 'with', 'a', 'tree', 'way', 'of', 'going', 'in', 'and', 'out', 'with', 'the', 'easement', 'of', 'drawing', 'water', 'in', 'any', 'well', '.']","[4, 5]","['give', 'in']","I Jordan de Blossevilla give in free alms to God and St Pancras and the monks for the welfare of my soul and of my ancestors and successors a portion of my land in Bevenden lying by my well on the south side containing perches in length and in breadth ; to hold in tree alms , with a tree way of going in and out with the easement of drawing water in any well .",give in
"['give', 'in']",C/CG/CG9.xml,625,false,1.0,"['Within', 'the', 'above', 'breakdown', 'one', 'can', 'suggest', 'the', 'following', 'modules', 'none', 'of', 'which', 'is', 'comprehensive', ',', 'only', 'the', 'flavour', 'is', 'indicated', 'the', 'way', 'in', 'which', 'each', 'of', 'the', 'modules', 'would', 'be', 'approached', 'is', 'indicated', 'in', 'the', 'sample', 'courses', 'given', 'in', 'Section', ':']","[38, 39]","['given', 'in']","Within the above breakdown one can suggest the following modules none of which is comprehensive , only the flavour is indicated the way in which each of the modules would be approached is indicated in the sample courses given in Section :",given in
"['take', 'on']",K/K5/K52.xml,7,true,1.0,"['One', 'of', 'the', 'keenest', 'tussles', 'will', 'be', 'in', 'the', 'women', ""'s"", 'metres', ',', 'when', 'the', 'holder', ',', 'Ruth', 'Williams', ',', 'takes', 'on', 'her', 'Darlington', 'clubmate', ',', 'Helen', 'Blanchard', '.']","[20, 21]","['takes', 'on']","One of the keenest tussles will be in the women 's metres , when the holder , Ruth Williams , takes on her Darlington clubmate , Helen Blanchard .",takes on
"['take', 'on']",K/K1/K1E.xml,452,true,1.0,"['Whoever', 'takes', 'on', 'the', 'trout', 'farm', 'will', 'have', 'their', 'work', 'cut', 'out', '.']","[1, 2]","['takes', 'on']",Whoever takes on the trout farm will have their work cut out .,takes on
"['get', 'out']",K/KB/KB9.xml,176,true,0.6767,"['You', 'want', 'to', 'get', 'out', 'as', 'soon', 'as', 'you', 'get', 'in', 'that', ""'s"", 'nice']","[3, 4]","['get', 'out']",You want to get out as soon as you get in that 's nice,get out
"['get', 'out']",F/FR/FRY.xml,900,false,0.6537,"['Only', 'three', 'people', 'got', 'out', 'of', 'the', 'train', '.']","[3, 4]","['got', 'out']",Only three people got out of the train .,got out
